,labeller,modelAppr,scalingAppr,selectionAppr,precision,recall,f1
49,KMeans_undersampling_2_bestScoreByClosestToMedian,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
50,KMeans_undersampling_2_bestScoreByClosestToMedian,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
51,KMeans_undersampling_2_bestScoreByClosestToMedian,MLPC,FT,FT,0.3936269915651359,0.9190371991247265,0.5511811023622047
52,KMeans_undersampling_2_bestScoreByClosestToMedian,MLPC,MMS,FT,0.3760539629005059,0.975929978118162,0.5429093122337189
53,KMeans_undersampling_2_bestScoreByClosestToMedian,MLPC,SS,FT,0.3028391167192429,0.8402625820568927,0.44521739130434773
54,KMedoids_undersampling_2_highestScoreIndex,RFC,FT,FT,0.34925864909390447,0.9277899343544858,0.5074805505685218
55,KMedoids_undersampling_2_highestScoreIndex,RFC,MMS,FT,0.3696369636963696,0.9803063457330415,0.5368484122228879
56,KMedoids_undersampling_2_highestScoreIndex,RFC,SS,FT,0.29490196078431374,0.8227571115973742,0.4341801385681293
57,KMedoids_undersampling_2_highestScoreIndex,LSVC,FT,FT,0.353322528363047,0.9540481400437637,0.5156712004730929
58,KMedoids_undersampling_2_highestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
59,KMedoids_undersampling_2_highestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
60,KMedoids_undersampling_2_highestScoreIndex,MLPC,FT,FT,0.4086687306501548,0.8665207877461707,0.5553997194950911
61,KMedoids_undersampling_2_highestScoreIndex,MLPC,MMS,FT,0.37563025210084033,0.9781181619256017,0.5428051001821494
62,KMedoids_undersampling_2_highestScoreIndex,MLPC,SS,FT,0.3017982799061767,0.8446389496717724,0.44470046082949305
63,KMedoids_undersampling_2_lowestScoreIndex,RFC,FT,FT,0.349009900990099,0.925601750547046,0.5068903535050929
64,KMedoids_undersampling_2_lowestScoreIndex,RFC,MMS,FT,0.3702479338842975,0.9803063457330415,0.5374925014997
65,KMedoids_undersampling_2_lowestScoreIndex,RFC,SS,FT,0.29652996845425866,0.8227571115973742,0.43594202898550727
66,KMedoids_undersampling_2_lowestScoreIndex,LSVC,FT,FT,0.3466981132075472,0.9649890590809628,0.5101214574898785
67,KMedoids_undersampling_2_lowestScoreIndex,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
68,KMedoids_undersampling_2_lowestScoreIndex,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
69,KMedoids_undersampling_2_lowestScoreIndex,MLPC,FT,FT,0.4157068062827225,0.8687089715536105,0.5623229461756374
70,KMedoids_undersampling_2_lowestScoreIndex,MLPC,MMS,FT,0.3743718592964824,0.9781181619256017,0.5414900060569352
71,KMedoids_undersampling_2_lowestScoreIndex,MLPC,SS,FT,0.30199203187250995,0.8293216630196937,0.4427570093457944
72,KMedoids_undersampling_2_bestScoreByClosestToMean,RFC,FT,FT,0.3467874794069193,0.9212253829321663,0.5038898862956314
73,KMedoids_undersampling_2_bestScoreByClosestToMean,RFC,MMS,FT,0.3699421965317919,0.9803063457330415,0.5371702637889688
74,KMedoids_undersampling_2_bestScoreByClosestToMean,RFC,SS,FT,0.2941640378548896,0.8161925601750547,0.432463768115942
75,KMedoids_undersampling_2_bestScoreByClosestToMean,LSVC,FT,FT,0.3748910200523104,0.9409190371991247,0.5361596009975063
76,KMedoids_undersampling_2_bestScoreByClosestToMean,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
77,KMedoids_undersampling_2_bestScoreByClosestToMean,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
78,KMedoids_undersampling_2_bestScoreByClosestToMean,MLPC,FT,FT,0.3994053518334985,0.8818380743982495,0.5497953615279673
79,KMedoids_undersampling_2_bestScoreByClosestToMean,MLPC,MMS,FT,0.37468566638725903,0.9781181619256017,0.5418181818181819
80,KMedoids_undersampling_2_bestScoreByClosestToMean,MLPC,SS,FT,0.30031695721077656,0.8293216630196937,0.4409540430482839
81,KMedoids_undersampling_2_bestScoreByClosestToMedian,RFC,FT,FT,0.34925864909390447,0.9277899343544858,0.5074805505685218
82,KMedoids_undersampling_2_bestScoreByClosestToMedian,RFC,MMS,FT,0.3699421965317919,0.9803063457330415,0.5371702637889688
83,KMedoids_undersampling_2_bestScoreByClosestToMedian,RFC,SS,FT,0.29462875197472355,0.8161925601750547,0.4329657573998839
84,KMedoids_undersampling_2_bestScoreByClosestToMedian,LSVC,FT,FT,0.3901979264844486,0.9059080962800875,0.5454545454545454
85,KMedoids_undersampling_2_bestScoreByClosestToMedian,LSVC,MMS,FT,0.3782866836301951,0.975929978118162,0.5452322738386308
86,KMedoids_undersampling_2_bestScoreByClosestToMedian,LSVC,SS,FT,0.29690869877785764,0.9037199124726477,0.4469696969696969
87,KMedoids_undersampling_2_bestScoreByClosestToMedian,MLPC,FT,FT,0.40853658536585363,0.8796498905908097,0.5579458709229702
88,KMedoids_undersampling_2_bestScoreByClosestToMedian,MLPC,MMS,FT,0.3766891891891892,0.975929978118162,0.5435709932967703
89,KMedoids_undersampling_2_bestScoreByClosestToMedian,MLPC,SS,FT,0.30414386239249414,0.8512035010940919,0.4481566820276498
90,KMeans_undersampling_3_highestScoreIndex,RFC,FT,FT,0.3487986743993372,0.9212253829321663,0.5060096153846154
