,model,mean_train_precision,mean_train_recall,mean_train_f1,mean_train_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_accuracy,normalizer,foldingStrat
6,LinearSVC,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,Normal,StratifiedKFold
0,LogisticRegression,0.0,0.0,0.0,0.9270384995625454,0.0,0.0,0.0,0.9270283479960899,Normal,BalancedKFold
1,SGDClassifier,0.02456790779200085,0.09206666666666667,0.03745338903784997,0.8837058272086129,0.02232876712328767,0.08352272727272728,0.03485886544258701,0.8846242309240411,Normal,BalancedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9270384995625454,0.0,0.0,0.0,0.9270283479960899,Normal,BalancedKFold
3,RandomForestClassifier,0.11135275362218397,0.632921267304521,0.1893505021612631,0.6046124635128709,0.10840497545269363,0.6003907663543886,0.1818708719363147,0.6024869185210742,Normal,BalancedKFold
4,KNeighborsClassifier,0.0,0.0,0.0,0.9269192745146956,0.0,0.0,0.0,0.9270283479960899,Normal,BalancedKFold
5,MLPClassifier,0.0,0.0,0.0,0.9270384995625454,0.0,0.0,0.0,0.9270283479960899,Normal,BalancedKFold
6,LinearSVC,0.0,0.0,0.0,0.9270384995625454,0.0,0.0,0.0,0.9270283479960899,Normal,BalancedKFold
0,LogisticRegression,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,MinMaxScaler,KFold
1,SGDClassifier,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,MinMaxScaler,KFold
2,RidgeClassifier,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,MinMaxScaler,KFold
3,RandomForestClassifier,0.07067031671653577,0.6820467010279136,0.12806901328405965,0.5176495212653492,0.06971028308667954,0.6729914911818151,0.1262897331899637,0.5168031476012583,MinMaxScaler,KFold
4,KNeighborsClassifier,0.008051235132662397,0.010653753026634382,0.009171443460135487,0.9423855046021746,0.006716417910447761,0.008490566037735849,0.007499999999999998,0.941600786279241,MinMaxScaler,KFold
5,MLPClassifier,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,MinMaxScaler,KFold
6,LinearSVC,0.0,0.0,0.0,0.948063523178026,0.0,0.0,0.0,0.9480631818224164,MinMaxScaler,KFold
0,LogisticRegression,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,MinMaxScaler,StratifiedKFold
1,SGDClassifier,0.016553074494371954,0.08927294398092969,0.025821053925688776,0.895682302450193,0.01227648292021211,0.07741935483870968,0.019509482876245054,0.8924945423153003,MinMaxScaler,StratifiedKFold
2,RidgeClassifier,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,MinMaxScaler,StratifiedKFold
3,RandomForestClassifier,0.07074192497969813,0.6794223148935685,0.12814072880117772,0.5198167276973715,0.06987464903071783,0.6705902539464654,0.12655036808323358,0.5185279001810429,MinMaxScaler,StratifiedKFold
4,KNeighborsClassifier,0.0,0.0,0.0,0.9480635277785712,0.0,0.0,0.0,0.9480635544666063,MinMaxScaler,StratifiedKFold
