,0
MCQ160M,float64
MCQ170M,float64
MCD180M,float64
MCQ160G,float64
MCD180G,float64
MCQ160K,float64
MCQ170K,float64
MCD180K,float64
MCQ160O,float64
MCQ160L,float64
MCQ170L,float64
MCD180L,float64
MCQ500,float64
MCQ510A,float64
MCQ510B,float64
MCQ510C,float64
MCQ510D,float64
MCQ510E,float64
MCQ510F,float64
MCQ520,float64
MCQ530,float64
MCQ540,float64
MCQ550,float64
MCQ560,float64
MCQ570,float64
MCQ203,float64
MCQ206,float64
MCQ220,float64
MCQ230A,float64
MCD240A,float64
MCQ230B,float64
MCD240B,float64
MCQ230C,float64
MCD240C,float64
MCQ230D,float64
MCQ300B,float64
MCQ300C,float64
MCQ300A,float64
MCQ366A,float64
MCQ366B,float64
MCQ366C,float64
MCQ366D,float64
MCQ371A,float64
MCQ371B,float64
MCQ371C,float64
MCQ371D,float64
OSQ230,float64
DPQ010,float64
DPQ020,float64
DPQ030,float64
DPQ040,float64
DPQ050,float64
DPQ060,float64
DPQ070,float64
DPQ080,float64
DPQ090,float64
DPQ100,float64
OCD150,float64
OCQ180,float64
OCQ210,float64
OCQ260,float64
OCD270,float64
OCQ670,float64
OCQ380,float64
OCD390G,float64
OCD395,float64
OHQ030,float64
OHQ033,float64
OHQ770,float64
OHQ780A,float64
OHQ780B,float64
OHQ780C,float64
OHQ780D,float64
OHQ780E,float64
OHQ780F,float64
OHQ780G,float64
OHQ780H,float64
OHQ780I,float64
OHQ780J,float64
OHQ780K,float64
OHQ555G,float64
OHQ555Q,float64
OHQ555U,float64
OHQ560G,float64
OHQ560Q,float64
OHQ560U,float64
OHQ566,float64
OHQ571Q,float64
OHQ571U,float64
OHQ576G,float64
OHQ576Q,float64
OHQ576U,float64
OHQ610,float64
OHQ612,float64
OHQ614,float64
OHQ620,float64
OHQ640,float64
OHQ680,float64
OHQ835,float64
OHQ845,float64
OHQ848G,float64
OHQ848Q,float64
OHQ849,float64
OHQ850,float64
OHQ860,float64
OHQ870,float64
OHQ880,float64
OHQ895,float64
OHQ900,float64
OSQ010A,float64
OSQ010B,float64
OSQ010C,float64
OSQ020A,float64
OSQ020B,float64
OSQ020C,float64
OSD030AA,float64
OSQ040AA,float64
OSD050AA,float64
OSD030AB,float64
OSQ040AB,float64
OSD050AB,float64
OSD030AC,float64
OSQ040AC,float64
OSD050AC,float64
OSD030BA,float64
OSQ040BA,float64
OSD050BA,float64
OSD030BB,float64
OSQ040BB,float64
OSD050BB,float64
OSD030BC,float64
OSQ040BC,float64
OSD050BC,float64
OSD030BD,float64
OSQ040BD,float64
OSD050BD,float64
OSD030BE,float64
OSQ040BE,float64
OSD050BE,float64
OSD030CA,float64
OSQ040CA,float64
OSD050CA,float64
OSD030CB,float64
OSQ040CB,float64
OSD050CB,float64
OSD030CC,float64
OSQ040CC,float64
OSD050CC,float64
OSD030CD,float64
OSQ040CD,float64
OSD050CD,float64
OSD030CE,float64
OSQ040CE,float64
OSD050CE,float64
OSQ080,float64
OSQ090A,float64
OSQ100A,float64
OSD110A,float64
OSQ120A,float64
OSQ090B,float64
OSQ100B,float64
OSD110B,float64
OSQ120B,float64
OSQ090C,float64
OSQ100C,float64
OSD110C,float64
OSQ120C,float64
OSQ090D,float64
OSQ100D,float64
OSD110D,float64
OSQ120D,float64
OSQ090E,float64
OSQ100E,float64
OSD110E,float64
OSQ120E,float64
OSQ090F,float64
OSQ100F,float64
OSD110F,float64
OSQ120F,float64
OSQ090G,float64
OSQ120G,float64
OSQ090H,float64
OSQ120H,float64
OSQ090I,float64
OSQ120I,float64
OSQ090J,float64
OSQ100J,float64
OSD110J,float64
OSQ120J,float64
OSQ060,float64
OSQ072,float64
OSQ130,float64
OSQ140Q,float64
OSQ140U,float64
OSQ150,float64
OSQ160A,float64
OSQ160B,float64
OSQ170,float64
OSQ180,float64
OSQ190,float64
OSQ200,float64
OSQ210,float64
OSQ220,float64
PUQ100,float64
PUQ110,float64
PAQ605,float64
PAQ610,float64
PAD615,float64
PAQ620,float64
PAQ625,float64
PAD630,float64
PAQ635,float64
PAQ640,float64
PAD645,float64
PAQ650,float64
PAQ655,float64
PAD660,float64
PAQ665,float64
PAQ670,float64
PAD675,float64
PAD680,float64
PAQ706,float64
PAQ710,float64
PAQ715,float64
PFQ020,float64
PFQ030,float64
PFQ033,float64
PFQ041,float64
PFQ049,float64
PFQ051,float64
PFQ054,float64
PFQ057,float64
PFQ059,float64
PFQ061A,float64
PFQ061B,float64
PFQ061C,float64
PFQ061D,float64
PFQ061E,float64
PFQ061F,float64
PFQ061G,float64
PFQ061H,float64
PFQ061I,float64
PFQ061J,float64
PFQ061K,float64
PFQ061L,float64
PFQ061M,float64
PFQ061N,float64
PFQ061O,float64
PFQ061P,float64
PFQ061Q,float64
PFQ061R,float64
PFQ061S,float64
PFQ061T,float64
PFQ063A,float64
PFQ063B,float64
PFQ063C,float64
PFQ063D,float64
PFQ063E,float64
PFQ090,float64
RXQ510,float64
RXQ515,float64
RXQ520,float64
RXQ525G,float64
RXQ525Q,float64
RXQ525U,float64
RXD530,float64
RHQ010,float64
RHQ020,float64
RHQ031,float64
RHD043,float64
RHQ060,float64
RHQ070,float64
RHQ074,float64
RHQ076,float64
RHQ078,float64
RHQ131,float64
RHD143,float64
RHQ160,float64
RHQ162,float64
RHQ163,float64
RHQ166,float64
RHQ169,float64
RHQ172,float64
RHD173,float64
RHQ171,float64
RHD180,float64
RHD190,float64
RHQ197,float64
RHQ200,float64
RHD280,float64
RHQ291,float64
RHQ305,float64
RHQ332,float64
RHQ420,float64
RHQ540,float64
RHQ542A,float64
RHQ542B,float64
RHQ542C,float64
RHQ542D,float64
RHQ554,float64
RHQ560Q,float64
RHQ560U,float64
RHQ570,float64
RHQ576Q,float64
RHQ576U,float64
RHQ580,float64
RHQ586Q,float64
RHQ586U,float64
RHQ596,float64
RHQ602Q,float64
RHQ602U,float64
SLD012,float64
SLD013,float64
SLQ030,float64
SLQ040,float64
SLQ050,float64
SLQ120,float64
SMQ020,float64
SMD030,float64
SMQ040,float64
SMQ050Q,float64
SMQ050U,float64
SMD057,float64
SMQ078,float64
SMD641,float64
SMD650,float64
SMD093,float64
SMD100FL,float64
SMD100MN,float64
SMD100LN,float64
SMD100TR,float64
SMD100NI,float64
SMD100CO,float64
SMQ621,float64
SMD630,float64
SMQ661,float64
SMQ665A,float64
SMQ665B,float64
SMQ665C,float64
SMQ665D,float64
SMQ670,float64
SMQ848,float64
SMQ852Q,float64
SMQ852U,float64
SMQ890,float64
SMQ895,float64
SMQ900,float64
SMQ905,float64
SMQ910,float64
SMQ915,float64
SMAQUEX2,float64
SMD460,float64
SMD470,float64
SMD480,float64
SMQ681,float64
SMQ690A,float64
SMQ710,float64
SMQ720,float64
SMQ725,float64
SMQ690B,float64
SMQ740,float64
SMQ690C,float64
SMQ770,float64
SMQ690G,float64
SMQ845,float64
SMQ690H,float64
SMQ849,float64
SMQ851,float64
SMQ690D,float64
SMQ800,float64
SMQ690E,float64
SMQ817,float64
SMQ690K,float64
SMQ857O,float64
SMQ863,float64
SMQ690F,float64
SMQ830,float64
SMQ840,float64
SMDANY,float64
SMAQUEX,float64
SMQ856,float64
SMQ858,float64
SMQ860,float64
SMQ862,float64
SMQ866,float64
SMQ868,float64
SMQ870,float64
SMQ872,float64
SMQ874,float64
SMQ876,float64
SMQ878,float64
SMQ880,float64
SMQ940,float64
WTSVOC2Y,float64
VTQ210,float64
VTQ200A,float64
VTQ231A,float64
VTQ233A,float64
VTQ233B,float64
VTQ241A,float64
VTD241B,float64
VTQ244A,float64
VTD244B,float64
VTQ251A,float64
VTD251B,float64
VTQ261A,float64
VTD261B,float64
VTQ271A,float64
VTD271B,float64
VTQ281A,float64
VTD281B,float64
VTQ281C,float64
VTD281D,float64
VTQ281E,float64
VTD281F,float64
WHD010,float64
WHD020,float64
WHQ030,float64
WHQ040,float64
WHD050,float64
WHQ060,float64
WHQ070,float64
WHD080A,float64
WHD080B,float64
WHD080C,float64
WHD080D,float64
WHD080E,float64
WHD080F,float64
WHD080G,float64
WHD080H,float64
WHD080I,float64
WHD080J,float64
WHD080K,float64
WHD080M,float64
WHD080N,float64
WHD080O,float64
WHD080P,float64
WHD080Q,float64
WHD080R,float64
WHD080S,float64
WHD080T,float64
WHD080U,float64
WHD080L,float64
WHQ225,float64
WHD110,float64
WHD120,float64
WHD130,float64
WHD140,float64
WHQ150,float64
WHQ190,float64
WHQ200,float64
WHQ030M,float64
WHQ500,float64
WHQ520,float64
SDDSRVYR,float64
RIDSTATR,float64
RIAGENDR,float64
RIDAGEYR,float64
RIDAGEMN,float64
RIDRETH1,float64
RIDRETH3,float64
RIDEXMON,float64
RIDEXAGM,float64
DMQMILIZ,float64
DMQADFC,float64
DMDBORN4,float64
DMDCITZN,float64
DMDYRSUS,float64
DMDEDUC3,float64
DMDEDUC2,float64
DMDMARTL,float64
RIDEXPRG,float64
SIALANG,float64
SIAPROXY,float64
SIAINTRP,float64
FIALANG,float64
FIAPROXY,float64
FIAINTRP,float64
MIALANG,float64
MIAPROXY,float64
MIAINTRP,float64
AIALANGA,float64
DMDHHSIZ,float64
DMDFMSIZ,float64
DMDHHSZA,float64
DMDHHSZB,float64
DMDHHSZE,float64
DMDHRGND,float64
DMDHRAGZ,float64
DMDHREDZ,float64
DMDHRMAZ,float64
DMDHSEDZ,float64
WTINT2YR,float64
WTMEC2YR,float64
SDMVPSU,float64
SDMVSTRA,float64
INDHHIN2,float64
INDFMIN2,float64
INDFMPIR,float64
WTDR2D,float64
DR1DRSTZ,float64
DR1EXMER,float64
DRABF,float64
DRDINT,float64
DR1DBIH,float64
DR1DAY,float64
DR1LANG,float64
DR1MRESP,float64
DR1HELP,float64
DBQ095Z,float64
DBD100,float64
DRQSPREP,float64
DR1STY,float64
DR1SKY,float64
DRQSDIET,float64
DRQSDT1,float64
DRQSDT2,float64
DRQSDT3,float64
DRQSDT4,float64
DRQSDT5,float64
DRQSDT6,float64
DRQSDT7,float64
DRQSDT8,float64
DRQSDT9,float64
DRQSDT10,float64
DRQSDT11,float64
DRQSDT12,float64
DRQSDT91,float64
DR1TNUMF,float64
DR1TKCAL,float64
DR1TPROT,float64
DR1TCARB,float64
DR1TSUGR,float64
DR1TFIBE,float64
DR1TTFAT,float64
DR1TSFAT,float64
DR1TMFAT,float64
DR1TPFAT,float64
DR1TCHOL,float64
DR1TATOC,float64
DR1TATOA,float64
DR1TRET,float64
DR1TVARA,float64
DR1TACAR,float64
DR1TBCAR,float64
DR1TCRYP,float64
DR1TLYCO,float64
DR1TLZ,float64
DR1TVB1,float64
DR1TVB2,float64
DR1TNIAC,float64
DR1TVB6,float64
DR1TFOLA,float64
DR1TFA,float64
DR1TFF,float64
DR1TFDFE,float64
DR1TCHL,float64
DR1TVB12,float64
DR1TB12A,float64
DR1TVC,float64
DR1TVD,float64
DR1TVK,float64
DR1TCALC,float64
DR1TPHOS,float64
DR1TMAGN,float64
DR1TIRON,float64
DR1TZINC,float64
DR1TCOPP,float64
DR1TSODI,float64
DR1TPOTA,float64
DR1TSELE,float64
DR1TCAFF,float64
DR1TTHEO,float64
DR1TALCO,float64
DR1TMOIS,float64
DR1TS040,float64
DR1TS060,float64
DR1TS080,float64
DR1TS100,float64
DR1TS120,float64
DR1TS140,float64
DR1TS160,float64
DR1TS180,float64
DR1TM161,float64
DR1TM181,float64
DR1TM201,float64
DR1TM221,float64
DR1TP182,float64
DR1TP183,float64
DR1TP184,float64
DR1TP204,float64
DR1TP205,float64
DR1TP225,float64
DR1TP226,float64
DR1_300,float64
DR1_320Z,float64
DR1_330Z,float64
DR1BWATZ,float64
DR1TWSZ,float64
DRD340,float64
DRD350A,float64
DRD350AQ,float64
DRD350B,float64
DRD350BQ,float64
DRD350C,float64
DRD350CQ,float64
DRD350D,float64
DRD350DQ,float64
DRD350E,float64
DRD350EQ,float64
DRD350F,float64
DRD350FQ,float64
DRD350G,float64
DRD350GQ,float64
DRD350H,float64
DRD350HQ,float64
DRD350I,float64
DRD350IQ,float64
DRD350J,float64
DRD350JQ,float64
DRD350K,float64
DRD360,float64
DRD370A,float64
DRD370AQ,float64
DRD370B,float64
DRD370BQ,float64
DRD370C,float64
DRD370CQ,float64
DRD370D,float64
DRD370DQ,float64
DRD370E,float64
DRD370EQ,float64
DRD370F,float64
DRD370FQ,float64
DRD370G,float64
DRD370GQ,float64
DRD370H,float64
DRD370HQ,float64
DRD370I,float64
DRD370IQ,float64
DRD370J,float64
DRD370JQ,float64
DRD370K,float64
DRD370KQ,float64
DRD370L,float64
DRD370LQ,float64
DRD370M,float64
DRD370MQ,float64
DRD370N,float64
DRD370NQ,float64
DRD370O,float64
DRD370OQ,float64
DRD370P,float64
DRD370PQ,float64
DRD370Q,float64
DRD370QQ,float64
DRD370R,float64
DRD370RQ,float64
DRD370S,float64
DRD370SQ,float64
DRD370T,float64
DRD370TQ,float64
DRD370U,float64
DRD370UQ,float64
DRD370V,float64
DR2DRSTZ,float64
DR2EXMER,float64
DR2DBIH,float64
DR2DAY,float64
DR2LANG,float64
DR2MRESP,float64
DR2HELP,float64
DR2TNUMF,float64
DR2STY,float64
DR2SKY,float64
DR2TKCAL,float64
DR2TPROT,float64
DR2TCARB,float64
DR2TSUGR,float64
DR2TFIBE,float64
DR2TTFAT,float64
DR2TSFAT,float64
DR2TMFAT,float64
DR2TPFAT,float64
DR2TCHOL,float64
DR2TATOC,float64
DR2TATOA,float64
DR2TRET,float64
DR2TVARA,float64
DR2TACAR,float64
DR2TBCAR,float64
DR2TCRYP,float64
DR2TLYCO,float64
DR2TLZ,float64
DR2TVB1,float64
DR2TVB2,float64
DR2TNIAC,float64
DR2TVB6,float64
DR2TFOLA,float64
DR2TFA,float64
DR2TFF,float64
DR2TFDFE,float64
DR2TCHL,float64
DR2TVB12,float64
DR2TB12A,float64
DR2TVC,float64
DR2TVD,float64
DR2TVK,float64
DR2TCALC,float64
DR2TPHOS,float64
DR2TMAGN,float64
DR2TIRON,float64
DR2TZINC,float64
DR2TCOPP,float64
DR2TSODI,float64
DR2TPOTA,float64
DR2TSELE,float64
DR2TCAFF,float64
DR2TTHEO,float64
DR2TALCO,float64
DR2TMOIS,float64
DR2TS040,float64
DR2TS060,float64
DR2TS080,float64
