,0
DXXTRLI,0.08702223647059643
OSQ120I,0.08671099695241197
OSQ090I,0.08671099695241195
LBX5AL,0.08637612198931405
DXDTRLE,0.08592805777830953
CBQ840,0.08590466959171107
OSQ040BE,0.08574929257125441
SSCAMIGG,0.08510566046562197
DS2TFIBE,0.08478714630610823
DXXANLM,0.08363168145066334
OSQ040BD,0.08304547985374
LBDRSTLC,0.0829730456465521
DXDTRTOT,0.08271349258238937
DSXAF1LD,0.08266783446116174
URDANSLC,0.08220615871211116
LBDSZNSI,0.08180042370064787
LBXSZN,0.08178480511693663
LBDTLY,0.08141894424981368
LBDTLYSI,0.08139388086069654
PHAALCHR,0.08098158021002848
ARQ022AF,0.08068715304598806
DXDHEPF,0.08042420008371233
OSQ040CA,0.08006163674390486
RHQ580,0.07960050893513249
DS1TMFAT,0.07922985534781993
CBQ900,0.07919527679480085
DXXANTOM,0.07890168016675467
SDMPFOSL,0.07850262360489749
MCQ510A,0.07824949702527728
AUQ410A,0.07720575958283793
DXXTSA,0.07699320974885336
DRD370OQ,0.07613996617436475
SMQ080,0.07607744627997626
LBXHGB,0.0757281948116806
DSQTCARB,0.07564356132856837
ARQ025A,0.07562773641434763
FFQ0084,0.07476363574959093
LBXRBCSI,0.07427329176264458
DIQ360,0.07382409114585256
LBXHCT,0.07277943176095175
BPQ100D,0.07268732747397254
DSQTSUGR,0.07257647375823059
KIQ182,0.07249866262199789
DS2TPFAT,0.0724404457889782
DXDRALE,0.07235790030388523
FFQ0052,0.07233910576327446
URDACT2,0.07220556783237082
RHQ582,0.07212767521119381
SSSALIGM,0.07199429913944654
URXPHIP,0.07171294466307053
LBXSGTSI,0.07159014693292537
FFQ0097B,0.07117361814190161
DXXHEFAT,0.0710715560282361
LBXLYC,0.07046734630502206
LBDLYCSI,0.07045523345655803
DXXRALI,0.0700850482377358
DS1TCARB,0.07002850342134205
SXQ841,0.07002348526098016
SMQ780,0.06995093349599912
DS1TSUGR,0.06977972430838152
RHQ260,0.06964880566444527
DXDRATOT,0.06956981411218977
OSQ040AA,0.06927135087755468
URXTRP1,0.06911190221500553
VIQ320,0.06885547202104011
AGQ140,0.06846531968814577
LBXEPA,0.06829258853093739
BMXSAD1,0.06828058348188816
MCQ240L,0.0682705699012107
LBXIN,0.0682183139254773
LBDINSI,0.06821831273529186
BMDAVSAD,0.06805925273073919
DXDSTLI,0.06749352191841027
BMXSAD2,0.06748982076790706
DXXRRA,0.06747835347305288
DXDTOLE,0.06726500248068629
DXDSTLE,0.06697433639216238
OSD110C,0.06694997688672019
DXDHELE,0.06686422253339291
DXDLALE,0.06669874633957594
DXXLALI,0.06667448808992746
OSQ090H,0.06666666666666664
ARQ024F,0.06646257996654235
DXXPT9X,0.06643481761703819
FSQ210,0.06643440577734472
ARQ024B,0.06641986913384029
DXXPT8X,0.06631664151158288
DXXPT13X,0.06630603504466308
DXXSAX,0.06629606969289191
DXXPT82X,0.06615423224530852
DXXPT68X,0.06610886683310334
DXXPT83X,0.06592465942072673
DXXPT75X,0.06576263593032966
DXXPT67X,0.06569055448581104
DXXPT84X,0.06563648450212024
PHACOFHR,0.06562886958759692
DXXPT69X,0.06562034856418708
DXXPT60X,0.06548415527406043
DXXLRA,0.06544622955766495
DXDTOLI,0.06540527820244088
DXXPT85X,0.0653697638917361
DXXPT66X,0.06536769901661257
DXXPT59X,0.06527852490414127
DXXPT86X,0.06514168485463653
DXXPT76X,0.0651221414301058
OSQ040BC,0.06511568309752785
DXXPT70X,0.06509707240239673
FCX29DI,0.06508088443168954
DXXPT87X,0.06491244296145167
DXXPT65X,0.06488198462445226
SSSALIGG,0.06488079721511683
DXXPT58X,0.06483268783591002
DS2TCARB,0.06468138576370204
DXXPT88X,0.06465340904071934
DXXPT77X,0.06461603703609538
